scheme,pivot,data_type,size,time,time_min,time_max,swaps,comparisons,memory_used
QuickSortDijkstra,median_of_three_random,identical,10000,0.0006220340728759,0.0006148815155029,0.0006265640258789,1,3,140
QuickSortLomuto,last,identical,25000,26.91256093978882,25.04479002952576,28.53761458396912,24999,312512499,2099916
QuickSortLomuto,random,identical,25000,25.712810198465984,24.5576753616333,27.190289974212646,49987,312512499,2099916
QuickSortLomuto,median_of_three,identical,25000,24.716527541478477,24.02902054786682,25.92629313468933,49998,312587496,2099916
QuickSortLomuto,median_of_three_random,identical,25000,23.842957973480225,23.518802165985107,24.007971048355103,49988,312587493,2099916
QuickSortHoare,last,identical,25000,0.1009411811828613,0.0914793014526367,0.1141746044158935,203755,611265,3499860
QuickSortHoare,random,identical,25000,0.1249171098073323,0.1123237609863281,0.1360700130462646,203755,611265,3499860
QuickSortHoare,median_of_three,identical,25000,0.1317561467488607,0.1163837909698486,0.1445755958557129,203755,686262,3499860
QuickSortHoare,median_of_three_random,identical,25000,0.1789659659067789,0.1638638973236084,0.1997723579406738,203755,660414,3499860
QuickSortDoublePivot,double,identical,25000,18.70360763867696,17.869714498519897,19.969324588775635,25000,156250000,2450000
QuickSortDijkstra,median_of_three_random,identical,25000,0.0015901724497477,0.00154709815979,0.0016241073608398,1,3,140
QuickSortLomuto,last,sorted,100,0.0008242130279541,0.0006384849548339,0.0011897087097167,99,9999,8316
QuickSortLomuto,random,sorted,100,0.0001471042633056,0.0001404285430908,0.0001556873321533,118,979,5572
QuickSortLomuto,median_of_three,sorted,100,0.0001102288564046,0.0001089572906494,0.0001115798950195,126,951,5292
QuickSortLomuto,median_of_three_random,sorted,100,0.000209093093872,0.000201940536499,0.0002205371856689,158,1075,4788
QuickSortHoare,last,sorted,100,0.0004754861195882,0.0004534721374511,0.0005042552947998,198,5445,13860
QuickSortHoare,random,sorted,100,0.0002309481302897,0.000223159790039,0.0002410411834716,164,1183,13860
QuickSortHoare,median_of_three,sorted,100,0.0001957416534423,0.0001943111419677,0.0001976490020751,165,1311,13860
QuickSortHoare,median_of_three_random,sorted,100,0.0004581610361735,0.000349998474121,0.0006709098815917,291,1331,13860
QuickSortDoublePivot,double,sorted,100,0.0002976258595784,0.0002801418304443,0.0003285408020019,100,2500,9800
QuickSortDijkstra,median_of_three_random,sorted,100,0.0002494653065999,0.0002431869506835,0.0002593994140625,659,661,7793
QuickSortLomuto,last,sorted,500,0.0163514614105224,0.0158674716949462,0.0166051387786865,499,249999,41916
QuickSortLomuto,random,sorted,500,0.0009574095408121,0.0009295940399169,0.0009765625,584,7596,28308
QuickSortLomuto,median_of_three,sorted,500,0.0006637573242187,0.0006430149078369,0.0007004737854003,510,6240,21420
QuickSortLomuto,median_of_three_random,sorted,500,0.0015114943186442,0.0012049674987792,0.0020608901977539,824,7262,23940
QuickSortHoare,last,sorted,500,0.0090896288553873,0.0086750984191894,0.0096735954284667,998,127245,69860
QuickSortHoare,random,sorted,500,0.001335859298706,0.0012989044189453,0.0013735294342041,853,7554,69860
QuickSortHoare,median_of_three,sorted,500,0.001730998357137,0.0012032985687255,0.0024394989013671,831,7728,69860
QuickSortHoare,median_of_three_random,sorted,500,0.001890738805135,0.0018723011016845,0.0019152164459228,1467,8013,69860
QuickSortDoublePivot,double,sorted,500,0.0066215991973876,0.006251573562622,0.0070695877075195,500,62500,49000
QuickSortDijkstra,median_of_three_random,sorted,500,0.0018371740976969,0.0015664100646972,0.0020656585693359,4701,4733,40133
QuickSortLomuto,last,sorted,1000,0.0679914951324462,0.0673127174377441,0.0689010620117187,999,999999,83916
QuickSortLomuto,random,sorted,1000,0.0020811557769775,0.002040147781372,0.0021488666534423,1159,17678,55804
QuickSortLomuto,median_of_three,sorted,1000,0.0018794536590576,0.0014111995697021,0.0022339820861816,1022,13969,42924
QuickSortLomuto,median_of_three_random,sorted,1000,0.0028261343638102,0.0026102066040039,0.0032062530517578,1661,16279,48160
QuickSortHoare,last,sorted,1000,0.0381888548533121,0.0365209579467773,0.0411078929901123,1998,504495,139860
QuickSortHoare,random,sorted,1000,0.0034852822621663,0.0028467178344726,0.0046775341033935,1722,17451,139860
QuickSortHoare,median_of_three,sorted,1000,0.0023564497629801,0.0023467540740966,0.0023694038391113,1665,16466,139860
QuickSortHoare,median_of_three_random,sorted,1000,0.004498799641927,0.0040531158447265,0.0053431987762451,2952,17800,139860
QuickSortDoublePivot,double,sorted,1000,0.0290009975433349,0.0272688865661621,0.0307807922363281,1000,250000,98000
QuickSortDijkstra,median_of_three_random,sorted,1000,0.0038814544677734,0.003350019454956,0.0041582584381103,10556,10608,80033
QuickSortLomuto,last,sorted,5000,2.114211241404216,2.0604183673858643,2.164264440536499,4999,24999999,419916
QuickSortLomuto,random,sorted,5000,0.0162562529246012,0.0146949291229248,0.0190160274505615,5834,106383,280112
QuickSortLomuto,median_of_three,sorted,5000,0.0115284125010172,0.0091607570648193,0.0143013000488281,5904,88439,247968
QuickSortLomuto,median_of_three_random,sorted,5000,0.0168823401133219,0.0162041187286376,0.0172691345214843,8212,99603,239596
QuickSortHoare,last,sorted,5000,0.9971191883087158,0.9853503704071044,1.0151526927947998,9998,12522495,699860
QuickSortHoare,random,sorted,5000,0.0182209809621175,0.0172486305236816,0.0187513828277587,8608,102183,699860
QuickSortHoare,median_of_three,sorted,5000,0.0156904061635335,0.0140986442565917,0.0183022022247314,8331,94149,699860
QuickSortHoare,median_of_three_random,sorted,5000,0.0228362878163655,0.0224580764770507,0.0233020782470703,14720,100820,699860
